Data published in District Resource Statement,Data as of,Borough,Community District,DRS Medicaid (MA) Only Enrollees,DRS Total Medicaid (MA) Enrollees,DRS Cash Assistance (CA) Recipients,DRS Cash Assistance (CA) Cases,DRS Total Supplemental Nutrition Assistance Program (SNAP)  Recipients,DRS Total Supplemental Nutrition Assistance Program (SNAP)  Households
FY 2020,10/31/2019,STATEN ISLAND,S01,15714,35082,10705,5036,34581,18443
FY 2020,10/31/2019,STATEN ISLAND,S02,11385,17435,2375,1336,13632,8127
FY 2020,10/31/2019,STATEN ISLAND,S03,8215,11813,1254,759,9489,6108
FY 2021,10/31/2020,BRONX,B01,13067,38162,14087,7569,46995,25624
FY 2021,10/31/2020,BRONX,B02,6035,18663,7019,3650,23031,12780
FY 2021,10/31/2020,BRONX,B03,11212,35431,14245,7597,44880,24619
FY 2021,10/31/2020,BRONX,B04,17724,46670,16450,8562,57847,32323
FY 2021,10/31/2020,BRONX,B05,15506,44433,17373,9086,56538,31196
FY 2021,10/31/2020,BRONX,B06,9522,33831,14533,7379,40793,22315
FY 2021,10/31/2020,BRONX,B07,15644,39403,13764,7425,48327,27789
FY 2021,10/31/2020,BRONX,B08,8029,16084,3824,2046,18378,10981
FY 2021,10/31/2020,BRONX,B09,19083,46640,15743,7992,56508,31193
FY 2021,10/31/2020,BRONX,B10,8631,17366,4384,2341,20079,12138
FY 2021,10/31/2020,BRONX,B11,10669,23227,6627,3536,26108,15174
FY 2021,10/31/2020,BRONX,B12,12396,34799,14168,7148,40668,22425
FY 2021,10/31/2020,BROOKLYN,K01,31203,45098,7598,3125,52638,21671
FY 2021,10/31/2020,BROOKLYN,K02,6081,13113,3624,2254,14346,9793
FY 2021,10/31/2020,BROOKLYN,K03,17072,36860,11081,5957,45933,25508
FY 2021,10/31/2020,BROOKLYN,K04,10211,20592,4623,2693,25495,16157
FY 2021,10/31/2020,BROOKLYN,K05,22049,50477,15945,8485,67294,38992
FY 2021,10/31/2020,BROOKLYN,K06,4743,10078,2465,1527,11483,7570
FY 2021,10/31/2020,BROOKLYN,K07,17267,24923,3361,2040,21655,13108
FY 2021,10/31/2020,BROOKLYN,K08,7659,17901,5590,3411,20721,13798
FY 2021,10/31/2020,BROOKLYN,K09,9864,18387,4525,2728,21854,13577
FY 2021,10/31/2020,BROOKLYN,K10,14319,20409,2405,1441,18409,10950
FY 2021,10/31/2020,BROOKLYN,K11,26958,40131,3609,2108,36631,21814
FY 2021,10/31/2020,BROOKLYN,K12,42579,59148,10562,2845,61981,20428
FY 2021,10/31/2020,BROOKLYN,K13,14553,32443,5582,2903,32371,21655
FY 2021,10/31/2020,BROOKLYN,K14,17486,29421,5135,2975,31844,19035
FY 2021,10/31/2020,BROOKLYN,K15,18239,30186,3478,1943,28429,17807
FY 2021,10/31/2020,BROOKLYN,K16,10020,31443,12829,6574,39279,22533
FY 2021,10/31/2020,BROOKLYN,K17,12989,27421,8603,5136,32564,21016
FY 2021,10/31/2020,BROOKLYN,K18,15125,27522,5998,3375,31175,18908
FY 2021,10/31/2020,MANHATTAN,M01,1410,2771,681,513,2267,1770
FY 2021,10/31/2020,MANHATTAN,M02,2396,3537,436,349,2970,2411
FY 2021,10/31/2020,MANHATTAN,M03,20665,38958,7330,4769,37728,25896
FY 2021,10/31/2020,MANHATTAN,M04,5565,12487,3724,2675,13077,9822
FY 2021,10/31/2020,MANHATTAN,M05,1627,6325,2948,1916,6155,4320
FY 2021,10/31/2020,MANHATTAN,M06,2935,5774,1533,1231,5519,4732
FY 2021,10/31/2020,MANHATTAN,M07,7651,16573,4291,2940,17218,12752
FY 2021,10/31/2020,MANHATTAN,M08,4156,6933,1088,773,6005,4675
FY 2021,10/31/2020,MANHATTAN,M09,8726,19673,5601,3550,23100,15204
FY 2021,10/31/2020,MANHATTAN,M10,10675,26660,8799,5564,32003,20701
FY 2021,10/31/2020,MANHATTAN,M11,14730,37005,11372,6984,43609,27395
FY 2021,10/31/2020,MANHATTAN,M12,21008,40317,7604,4956,47002,32278
FY 2021,10/31/2020,QUEENS,Q01,15880,25650,4910,2942,24707,14872
FY 2021,10/31/2020,QUEENS,Q02,11168,15294,2071,1312,11638,7298
FY 2021,10/31/2020,QUEENS,Q03,22399,28833,3228,2044,25421,14578
FY 2021,10/31/2020,QUEENS,Q04,24548,31923,3461,2165,27178,15760
FY 2021,10/31/2020,QUEENS,Q05,13650,19143,2567,1615,20094,11774
